County,Total Air Releases
"Jackson, MS",1687133.07
"Jackson, OH",6002.4
"Jackson, OR",498065.3
"Jackson, WI",5227.86
"Jackson, WV",141277
"James City, VA",359061.25
"Jasper, GA",95949
"Jasper, IA",4991
"Jasper, IL",308915.6
"Jasper, IN",490989.817
"Jasper, MO",394658.0804
"Jasper, MS",26311.9
"Jasper, SC",43672.27
"Jasper, TX",695000.47
"Jay, IN",13733.753
"Jayuya, PR",5
"Jefferson, AL",2367152.187
"Jefferson, AR",2190872.569
"Jefferson, CO",394231
"Jefferson, GA",2700
"Jefferson, IA",1500
"Jefferson, IL",27238.1
"Jefferson, IN",2151869
"Jefferson, KY",2014408.39
"Jefferson, LA",72997.45
"Jefferson, MO",489791.76
"Jefferson, MT",8202.05084
"Jefferson, NE",63775
"Jefferson, NY",19008.005
"Jefferson, OH",18398971.79
"Jefferson, OK",11506
"Jefferson, PA",8829.67
"Jefferson, TN",12186.11982
"Jefferson, TX",3601059.419
"Jefferson, WA",373925
"Jefferson, WI",61219.11
"Jefferson, WV",0
"Jennings, IN",9832.73
"Jerome, ID",0.0642
"Jessamine, KY",5477
"Jo Daviess, IL",904027
"Johnson, AR",213389
"Johnson, IA",171732.42
"Johnson, IN",27552
"Johnson, KS",64372.3889
"Johnson, MO",19981.34
"Johnson, TX",75475.92
"Johnston, NC",57836.73
"Jones, IA",241
"Jones, MS",481482
"Jones, TX",7373
"Josephine, OR",87700
"Juab, UT",176.34533
"Juncos, PR",161
"Juneau, AK",666.44
"Juneau, WI",1746
"Juniata, PA",53543.9
"Kalamazoo, MI",306648.67
"Kalkaska, MI",38681
"Kanawha, WV",2857072.5
"Kandiyohi, MN",87061.7
"Kane, IL",122617.5571
"Kankakee, IL",346350.0624
"Karnes, TX",87355.4
"Kaufman, TX",102032.8
"Kay, OK",320941.29
"Kearney, NE",16263.3
"Kemper, MS",4.3
"Kenai Peninsula, AK",108930
"Kendall, IL",15837.2
"Kennebec, ME",12519
"Kenosha, WI",338888.27
"Kent, DE",182472.7868
"Kent, MD",12379.0153
"Kent, MI",214427.563
"Kent, RI",25524.64601
"Kenton, KY",17246.6
"Kern, CA",634000.285
"Kershaw, SC",159621.6
"Kimball, NE",752.5
"King George, VA",8115.11
"King William, VA",1000508.2
"King, WA",540383.5338
"Kingfisher, OK",29423.84
"Kings, CA",180075.36
"Kings, NY",15455.5943
"Kitsap, WA",11942
"Klamath, OR",502501.1226
"Kleberg, TX",0
"Knox, IL",162323
"Knox, IN",141667
"Knox, ME",27972.051
"Knox, OH",2
"Knox, TN",722045.801
"Koochiching, MN",156218
